Pq,Pr,Ps,Pt,E(QS) - desc,E(QS),E(QT) - desc,E(QT),E(RS) - desc,E(RS),E(RT) - desc,E(RT),E(QS) + E(RS) + E(RT) - E(QT)
3,3,5,5,'17.0/25,0.68,'4.0/26,0.15384615384615385,'8.0/22,0.36363636363636365,'11.0/27,0.4074074074074074,1.2971976171976172
3,3,5,6,'12.0/20,0.6,'34.0/34,1.0,'7.0/21,0.3333333333333333,'25.0/25,1.0,0.9333333333333333
3,3,6,1,'27.0/27,1.0,'9.0/21,0.42857142857142855,'24.0/24,1.0,'12.0/28,0.42857142857142855,1.9999999999999998
3,3,6,2,'21.0/21,1.0,'-1.0/23,-0.043478260869565216,'24.0/24,1.0,'-8.0/32,-0.25,1.7934782608695652
3,3,6,3,'28.0/28,1.0,'-27.0/27,-1.0,'21.0/21,1.0,'-24.0/24,-1.0,2.0
3,3,6,4,'32.0/32,1.0,'-5.0/19,-0.2631578947368421,'24.0/24,1.0,'-11.0/25,-0.44,1.823157894736842
3,3,6,5,'27.0/27,1.0,'11.0/21,0.5238095238095238,'26.0/26,1.0,'14.0/26,0.5384615384615384,2.0146520146520146
3,3,6,6,'28.0/28,1.0,'24.0/24,1.0,'31.0/31,1.0,'17.0/17,1.0,2.0
3,4,1,1,'12.0/26,0.46153846153846156,'10.0/24,0.4166666666666667,'22.0/22,1.0,'28.0/28,1.0,2.044871794871795
3,4,1,2,'8.0/28,0.2857142857142857,'-15.0/27,-0.5555555555555556,'27.0/27,1.0,'6.0/18,0.3333333333333333,2.1746031746031744
3,4,1,3,'8.0/26,0.3076923076923077,'-18.0/18,-1.0,'29.0/29,1.0,'-13.0/27,-0.48148148148148145,1.8262108262108263
3,4,1,4,'0.0/12,0.0,'-8.0/26,-0.3076923076923077,'33.0/33,1.0,'-29.0/29,-1.0,0.3076923076923077
3,4,1,5,'3.0/33,0.09090909090909091,'11.0/27,0.4074074074074074,'25.0/25,1.0,'-5.0/15,-0.3333333333333333,0.3501683501683502
3,4,1,6,'11.0/27,0.4074074074074074,'32.0/32,1.0,'21.0/21,1.0,'10.0/20,0.5,0.9074074074074074
3,4,2,1,'-9.0/25,-0.36,'13.0/23,0.5652173913043478,'9.0/23,0.391304347826087,'29.0/29,1.0,0.46608695652173926
3,4,2,2,'-9.0/17,-0.5294117647058824,'-5.0/25,-0.2,'19.0/33,0.5757575757575758,'11.0/25,0.44,0.6863458110516935
3,4,2,3,'-5.0/21,-0.23809523809523808,'-19.0/19,-1.0,'14.0/26,0.5384615384615384,'-22.0/34,-0.6470588235294118,0.6533074768368885
3,4,2,4,'-18.0/30,-0.6,'-10.0/22,-0.45454545454545453,'12.0/28,0.42857142857142855,'-20.0/20,-1.0,-0.7168831168831169
3,4,2,5,'-8.0/26,-0.3076923076923077,'15.0/25,0.6,'7.0/29,0.2413793103448276,'0.0/20,0.0,-0.6663129973474801
3,4,2,6,'-13.0/23,-0.5652173913043478,'25.0/25,1.0,'-2.0/20,-0.1,'6.0/32,0.1875,-1.4777173913043478
3,4,3,1,'-24.0/24,-1.0,'6.0/26,0.23076923076923078,'3.0/25,0.12,'25.0/25,1.0,-0.11076923076923079
3,4,3,2,'-30.0/30,-1.0,'-9.0/29,-0.3103448275862069,'-15.0/25,-0.6,'6.0/16,0.375,-0.9146551724137932
3,4,3,3,'-24.0/24,-1.0,'-26.0/26,-1.0,'-16.0/24,-0.6666666666666666,'-6.0/26,-0.23076923076923078,-0.8974358974358974
3,4,3,4,'-26.0/26,-1.0,'-10.0/20,-0.5,'-7.0/29,-0.2413793103448276,'-25.0/25,-1.0,-1.7413793103448274
3,4,3,5,'-25.0/25,-1.0,'9.0/27,0.3333333333333333,'-9.0/31,-0.2903225806451613,'-3.0/17,-0.17647058823529413,-1.8001265022137887
3,4,3,6,'-31.0/31,-1.0,'20.0/20,1.0,'-1.0/23,-0.043478260869565216,'10.0/26,0.38461538461538464,-1.6588628762541806
3,4,4,1,'-4.0/24,-0.16666666666666666,'13.0/31,0.41935483870967744,'-26.0/26,-1.0,'19.0/19,1.0,-0.5860215053763442
3,4,4,2,'-8.0/24,-0.3333333333333333,'-14.0/18,-0.7777777777777778,'-33.0/33,-1.0,'7.0/25,0.28,-0.27555555555555544
3,4,4,3,'1.0/25,0.04,'-19.0/19,-1.0,'-33.0/33,-1.0,'-5.0/23,-0.21739130434782608,-0.17739130434782613
3,4,4,4,'-7.0/25,-0.28,'-4.0/24,-0.16666666666666666,'-24.0/24,-1.0,'-27.0/27,-1.0,-2.1133333333333337
3,4,4,5,'-13.0/21,-0.6190476190476191,'7.0/23,0.30434782608695654,'-33.0/33,-1.0,'-9.0/23,-0.391304347826087,-2.3146997929606625
3,4,4,6,'-7.0/21,-0.3333333333333333,'33.0/33,1.0,'-20.0/20,-1.0,'4.0/26,0.15384615384615385,-2.1794871794871793
3,4,5,1,'8.0/20,0.4,'0.0/26,0.0,'-9.0/29,-0.3103448275862069,'25.0/25,1.0,1.089655172413793
3,4,5,2,'6.0/20,0.3,'-3.0/25,-0.12,'-1.0/27,-0.037037037037037035,'12.0/28,0.42857142857142855,0.8115343915343914
3,4,5,3,'10.0/26,0.38461538461538464,'-26.0/26,-1.0,'-2.0/26,-0.07692307692307693,'0.0/22,0.0,1.3076923076923077
3,4,5,4,'10.0/20,0.5,'-8.0/24,-0.3333333333333333,'-5.0/29,-0.1724137931034483,'-27.0/27,-1.0,-0.339080459770115
3,4,5,5,'12.0/22,0.5454545454545454,'11.0/27,0.4074074074074074,'-16.0/28,-0.5714285714285714,'-11.0/23,-0.4782608695652174,-0.9116423029466507
3,4,5,6,'14.0/26,0.5384615384615384,'22.0/22,1.0,'-1.0/23,-0.043478260869565216,'15.0/29,0.5172413793103449,0.01222465690231811
3,4,6,1,'26.0/26,1.0,'14.0/22,0.6363636363636364,'9.0/27,0.3333333333333333,'25.0/25,1.0,1.6969696969696968
3,4,6,2,'24.0/24,1.0,'-10.0/26,-0.38461538461538464,'12.0/26,0.46153846153846156,'12.0/24,0.5,2.3461538461538463
3,4,6,3,'24.0/24,1.0,'-26.0/26,-1.0,'11.0/25,0.44,'-15.0/25,-0.6,1.8399999999999999
3,4,6,4,'29.0/29,1.0,'-16.0/22,-0.7272727272727273,'12.0/30,0.4,'-19.0/19,-1.0,1.1272727272727272
3,4,6,5,'19.0/19,1.0,'11.0/21,0.5238095238095238,'12.0/32,0.375,'-4.0/28,-0.14285714285714285,0.7083333333333334
3,4,6,6,'19.0/19,1.0,'24.0/24,1.0,'4.0/28,0.14285714285714285,'15.0/29,0.5172413793103449,0.6600985221674875
3,5,1,1,'13.0/27,0.48148148148148145,'3.0/23,0.13043478260869565,'6.0/28,0.21428571428571427,'6.0/22,0.2727272727272727,0.8380596858857727
3,5,1,2,'9.0/15,0.6,'-6.0/24,-0.25,'5.0/27,0.18518518518518517,'34.0/34,1.0,2.035185185185185
3,5,1,3,'11.0/29,0.3793103448275862,'-23.0/23,-1.0,'0.0/24,0.0,'2.0/24,0.08333333333333333,1.4626436781609196
3,5,1,4,'4.0/26,0.15384615384615385,'-9.0/21,-0.42857142857142855,'10.0/32,0.3125,'-1.0/21,-0.047619047619047616,0.8472985347985348
3,5,1,5,'1.0/25,0.04,'7.0/25,0.28,'9.0/29,0.3103448275862069,'-21.0/21,-1.0,-0.9296551724137931
3,5,1,6,'19.0/25,0.76,'20.0/20,1.0,'10.0/32,0.3125,'-9.0/23,-0.391304347826087,-0.3188043478260869
3,5,2,1,'-11.0/29,-0.3793103448275862,'0.0/28,0.0,'18.0/18,1.0,'11.0/25,0.44,1.0606896551724139
3,5,2,2,'-11.0/23,-0.4782608695652174,'3.0/23,0.13043478260869565,'26.0/26,1.0,'28.0/28,1.0,1.3913043478260871
3,5,2,3,'-17.0/27,-0.6296296296296297,'-26.0/26,-1.0,'27.0/27,1.0,'10.0/20,0.5,1.8703703703703702
3,5,2,4,'-5.0/25,-0.2,'-2.0/32,-0.0625,'21.0/21,1.0,'-6.0/22,-0.2727272727272727,0.5897727272727273
3,5,2,5,'-8.0/16,-0.5,'9.0/23,0.391304347826087,'38.0/38,1.0,'-23.0/23,-1.0,-0.8913043478260869
3,5,2,6,'-5.0/21,-0.23809523809523808,'21.0/21,1.0,'26.0/26,1.0,'-10.0/32,-0.3125,-0.5505952380952381
3,5,3,1,'-25.0/25,-1.0,'14.0/24,0.5833333333333334,'1.0/23,0.043478260869565216,'14.0/28,0.5,-1.039855072463768
3,5,3,2,'-29.0/29,-1.0,'-16.0/28,-0.5714285714285714,'12.0/24,0.5,'19.0/19,1.0,1.0714285714285714
3,5,3,3,'-28.0/28,-1.0,'-26.0/26,-1.0,'3.0/17,0.17647058823529413,'7.0/29,0.2413793103448276,0.4178498985801218
3,5,3,4,'-24.0/24,-1.0,'-11.0/25,-0.44,'13.0/19,0.6842105263157895,'-4.0/32,-0.125,-0.0007894736842105066
3,5,3,5,'-19.0/19,-1.0,'14.0/24,0.5833333333333334,'8.0/34,0.23529411764705882,'-23.0/23,-1.0,-2.3480392156862746
3,5,3,6,'-29.0/29,-1.0,'25.0/25,1.0,'4.0/30,0.13333333333333333,'4.0/16,0.25,-1.6166666666666667
3,5,4,1,'-13.0/35,-0.37142857142857144,'4.0/18,0.2222222222222222,'-4.0/24,-0.16666666666666666,'1.0/23,0.043478260869565216,-0.7168391994478951
3,5,4,2,'-7.0/21,-0.3333333333333333,'-3.0/25,-0.12,'-8.0/28,-0.2857142857142857,'26.0/26,1.0,0.5009523809523809
3,5,4,3,'-7.0/23,-0.30434782608695654,'-33.0/33,-1.0,'-5.0/21,-0.23809523809523808,'11.0/23,0.4782608695652174,0.9358178053830227
3,5,4,4,'-13.0/25,-0.52,'-16.0/22,-0.7272727272727273,'-9.0/25,-0.36,'-14.0/28,-0.5,-0.6527272727272726
3,5,4,5,'-15.0/25,-0.6,'14.0/26,0.5384615384615384,'0.0/26,0.0,'-23.0/23,-1.0,-2.1384615384615384
3,5,4,6,'-11.0/25,-0.44,'21.0/21,1.0,'-13.0/29,-0.4482758620689655,'-9.0/25,-0.36,-2.2482758620689656
3,5,5,1,'17.0/19,0.8947368421052632,'5.0/29,0.1724137931034483,'-24.0/24,-1.0,'12.0/28,0.42857142857142855,0.15089447757324342
3,5,5,2,'13.0/31,0.41935483870967744,'-17.0/29,-0.5862068965517241,'-18.0/18,-1.0,'22.0/22,1.0,1.0055617352614017
3,5,5,3,'5.0/19,0.2631578947368421,'-29.0/29,-1.0,'-22.0/22,-1.0,'8.0/30,0.26666666666666666,0.5298245614035086
3,5,5,4,'10.0/28,0.35714285714285715,'-7.0/19,-0.3684210526315789,'-25.0/25,-1.0,'-14.0/28,-0.5,-0.7744360902255638
3,5,5,5,'14.0/24,0.5833333333333334,'9.0/23,0.391304347826087,'-29.0/29,-1.0,'-24.0/24,-1.0,-1.8079710144927534
3,5,5,6,'11.0/27,0.4074074074074074,'20.0/20,1.0,'-21.0/21,-1.0,'-2.0/32,-0.0625,-1.6550925925925926
3,5,6,1,'28.0/28,1.0,'11.0/25,0.44,'-2.0/22,-0.09090909090909091,'5.0/25,0.2,0.6690909090909092
3,5,6,2,'30.0/30,1.0,'-13.0/25,-0.52,'-10.0/22,-0.45454545454545453,'23.0/23,1.0,2.0654545454545454
3,5,6,3,'21.0/21,1.0,'-25.0/25,-1.0,'-13.0/25,-0.52,'13.0/29,0.4482758620689655,1.9282758620689655
3,5,6,4,'25.0/25,1.0,'-14.0/26,-0.5384615384615384,'-2.0/20,-0.1,'-13.0/29,-0.4482758620689655,0.9901856763925729
3,5,6,5,'29.0/29,1.0,'11.0/25,0.44,'-5.0/27,-0.18518518518518517,'-19.0/19,-1.0,-0.6251851851851851
3,5,6,6,'26.0/26,1.0,'28.0/28,1.0,'-9.0/27,-0.3333333333333333,'-5.0/19,-0.2631578947368421,-0.5964912280701753
3,6,1,1,'6.0/24,0.25,'7.0/27,0.25925925925925924,'-3.0/19,-0.15789473684210525,'-8.0/30,-0.26666666666666666,-0.43382066276803116
3,6,1,2,'-4.0/20,-0.2,'-2.0/30,-0.06666666666666667,'-15.0/25,-0.6,'15.0/25,0.6,-0.13333333333333341
3,6,1,3,'4.0/22,0.18181818181818182,'-24.0/24,-1.0,'-16.0/24,-0.6666666666666666,'30.0/30,1.0,1.5151515151515151
3,6,1,4,'10.0/16,0.625,'-17.0/29,-0.5862068965517241,'-9.0/29,-0.3103448275862069,'12.0/26,0.46153846153846156,1.3624005305039786
3,6,1,5,'7.0/25,0.28,'4.0/22,0.18181818181818182,'-7.0/21,-0.3333333333333333,'-14.0/32,-0.4375,-0.6726515151515151
3,6,1,6,'7.0/23,0.30434782608695654,'26.0/26,1.0,'-8.0/26,-0.3076923076923077,'-25.0/25,-1.0,-2.0033444816053514
3,6,2,1,'-14.0/28,-0.5,'7.0/25,0.28,'3.0/19,0.15789473684210525,'-14.0/28,-0.5,-1.1221052631578947
3,6,2,2,'-10.0/20,-0.5,'-9.0/21,-0.42857142857142855,'6.0/26,0.23076923076923078,'-3.0/33,-0.09090909090909091,0.06843156843156845
3,6,2,3,'-7.0/25,-0.28,'-26.0/26,-1.0,'4.0/24,0.16666666666666666,'25.0/25,1.0,1.8866666666666667
3,6,2,4,'-19.0/33,-0.5757575757575758,'-15.0/25,-0.6,'10.0/20,0.5,'10.0/22,0.45454545454545453,0.9787878787878788
3,6,2,5,'-1.0/21,-0.047619047619047616,'9.0/25,0.36,'9.0/31,0.2903225806451613,'-3.0/23,-0.13043478260869565,-0.24773124958258194
3,6,2,6,'0.0/20,0.0,'24.0/24,1.0,'0.0/36,0.0,'-20.0/20,-1.0,-2.0
3,6,3,1,'-18.0/18,-1.0,'6.0/20,0.3,'28.0/28,1.0,'-22.0/34,-0.6470588235294118,-0.9470588235294117
3,6,3,2,'-23.0/23,-1.0,'-6.0/24,-0.25,'30.0/30,1.0,'5.0/23,0.21739130434782608,0.46739130434782605
3,6,3,3,'-21.0/21,-1.0,'-33.0/33,-1.0,'27.0/27,1.0,'19.0/19,1.0,2.0
3,6,3,4,'-29.0/29,-1.0,'-7.0/21,-0.3333333333333333,'24.0/24,1.0,'18.0/26,0.6923076923076923,1.0256410256410255
3,6,3,5,'-29.0/29,-1.0,'7.0/23,0.30434782608695654,'30.0/30,1.0,'-10.0/18,-0.5555555555555556,-0.8599033816425121
3,6,3,6,'-24.0/24,-1.0,'28.0/28,1.0,'18.0/18,1.0,'-30.0/30,-1.0,-2.0
3,6,4,1,'-13.0/25,-0.52,'-3.0/35,-0.08571428571428572,'7.0/21,0.3333333333333333,'-3.0/19,-0.15789473684210525,-0.2588471177944862
