realm_id,conversion,num_days,num_users,data_queries,dashboard_queries,api_queries,is_advanced_demo,is_poc,does_it_have_both
resorts-world-sentosa,0,6,4,2250,1227,130,1,0,0
rhb-group-singapore,1,17,3,1247,1082,123,1,1,1
ringier,1,22,17,7625,1739,454,1,1,1
river-island-clothing-co-ltd,0,3,2,987,299,52,1,0,0
rv-versicherung-ag,0,2,2,1413,262,322,1,0,0
sailpoint,0,6,4,371,139,48,0,1,0
sandfire-resources-limited,0,1,1,42,23,20,0,1,0
savola-group,0,10,1,198,388,20,0,1,0
scania-ab,0,20,9,4785,2071,265,0,1,0
schnucks,0,11,3,2162,865,260,1,0,0
sg-enable,0,1,1,166,149,4,1,0,0
shell,0,34,5,6177,1318,285,0,1,0
silverstein-properties-inc,0,12,2,1852,1221,113,1,0,0
ss-metlife,1,16,4,690,662,43,0,1,0
ss-sinch,0,1,1,78,41,4,0,1,0
ss-tesco,0,17,1,1203,148,68,0,1,0
staffbase-gmbh,1,8,2,563,219,36,0,1,0
stark-industries-acme,0,5,3,120,317,24,0,1,0
stewart-information-services-corp,0,7,3,1225,809,90,0,1,0
stroer-se-co-kgaa,1,40,5,17955,2663,1210,1,1,1
sulzer-ltd,0,6,5,454,317,70,1,0,0
suncorp-group-limited,0,4,1,412,76,28,1,0,0
sutherland-global-services-inc,1,13,5,1385,618,80,0,1,0
tailored-brands,1,23,4,2446,891,132,1,1,1
telenor,0,4,2,398,191,36,1,0,0
tesco,1,5,3,1309,101,140,0,1,0
teva,0,16,3,2802,264,79,0,1,0
the-allstate-corporation,0,1,1,222,0,6,0,1,0
the-bank-of-new-york-mellon-corporation,1,6,2,2631,967,100,0,1,0
the-goldman-sachs-group-inc,0,5,1,496,133,62,0,1,0
the-phone-house-spain,0,1,1,4,23,2,1,0,0
toyota-motor-europe-nv,0,6,4,257,284,60,1,0,0
tradeweb,0,8,3,1696,543,213,1,1,1
tupperware-brands-corporation,1,3,2,254,170,20,1,1,1
turk-telekom,0,12,2,643,342,40,0,1,0
tx-group,0,2,1,90,23,10,1,0,0
unicredit,1,35,12,18739,3491,1241,0,1,0
verizon-communications,1,16,7,6736,963,437,0,1,0
verizon-communications-inc,0,34,3,2243,1551,267,1,0,0
vf-corporation,1,16,4,2846,981,223,0,1,0
victoria-government-dpc,0,5,3,482,275,58,1,0,0
vietnam-government,0,5,1,957,330,40,1,0,0
viettel-cyber-security,0,3,1,87,147,12,1,0,0
vistra-corp,0,12,1,746,679,48,0,1,0
voestalpine-high-performance-metals-gmbh,0,4,3,1811,338,42,0,1,0
westpac,1,22,8,2909,1283,179,0,1,0
wmc-healthcare-gmbh,0,4,2,644,329,52,1,0,0
woolworths-group,0,11,2,1956,356,104,0,1,0
zalando,1,9,4,797,255,61,0,1,0
